run_id,timestamp,scenario,metric_name,value,unit,description,source,details_json
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,QpQs,1.00000017735663,-,Pulmonary-to-systemic flow ratio,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,HR,83,bpm,Heart rate,params,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,SAP_max,111.653237121689,mmHg,Systemic arterial systolic pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,SAP_min,73.7558797914371,mmHg,Systemic arterial diastolic pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,MAP,92.2674949730948,mmHg,Systemic arterial mean pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,PAP_max,21.0104590262151,mmHg,Pulmonary arterial systolic pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,PAP_min,11.84638878422,mmHg,Pulmonary arterial diastolic pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,CO_systemic,3.59700854920825,L/min,Systemic cardiac output,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,cardiac_index,3.25954850171135,L/min/m^2,BSA-normalized systemic cardiac output,computed,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,Qp,3.59700918716155,L/min,Pulmonary flow,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,Qs,3.59700854920825,L/min,Systemic flow,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,PAP_mean,15.744703970657,mmHg,Mean pulmonary artery pressure,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,LAP_mean_LVEDP_est,9.23263085236319,mmHg,Mean LA pressure used as LVEDP estimate,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,DeltaP_LAP_minus_RAP,1.51376943942367,mmHg,Mean trans-septal pressure gradient,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,SVRi,25.9387560932949,WU*m^2,Indexed systemic vascular resistance,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,PVRi,1.99784478123755,WU*m^2,Indexed pulmonary vascular resistance,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,LVEDV,72.2434812471588,mL,LV end-diastolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,LVESV,28.9060288470593,mL,LV end-systolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,RVEDV,71.6657517150687,mL,RV end-diastolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,RVESV,28.3282916287849,mL,RV end-systolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,LVEDVi,65.4658246807394,mL/m^2,Indexed LV end-diastolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,RVEDVi,64.942295919282,mL/m^2,Indexed RV end-diastolic volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,SV_LV,43.3374524000994,mL,LV stroke volume,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,Q_ASD_Lmin,0,L/min,Mean ASD shunt flow,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,ASD_direction,closed_or_zero,-,Mean ASD shunt direction,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,EF_lv,0.599880454982972,fraction,Left ventricular ejection fraction,compute_clinical_indices,
ped_healthy_8yo_20260521_2106,2026-05-21 21:06:15,Healthy_Pediatric_8yo,EF_rv,0.604716465663911,fraction,Right ventricular ejection fraction,compute_clinical_indices,
