run_id,timestamp,scenario,parameter_name,value,unit,description,source,details_json
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emin_rv,0.0742219518590508,mmHg/mL,"Exported field ""Emin_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,V0_rv,4.49435217174998,mL,"Exported field ""V0_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emax_la,0.961362964753688,mmHg/mL,"Exported field ""Emax_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emin_la,0.399335385359224,mmHg/mL,"Exported field ""Emin_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,V0_la,1.23415989490345,mL,"Exported field ""V0_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emax_ra,0.577385773234667,mmHg/mL,"Exported field ""Emax_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emin_ra,0.350748366918256,mmHg/mL,"Exported field ""Emin_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,V0_ra,1.89173696691178,mL,"Exported field ""V0_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_sa,0.857306839814605,mmHg*s/mL,"Exported field ""R_sa""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_sc,0.0314727768972711,mmHg*s/mL,"Exported field ""R_sc""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_sv,0.521548874297635,mmHg*s/mL,"Exported field ""R_sv""; verify definition in source function.",payload struct,
